Name|Type|ActionType|Range(in feet)|Duration|CastingTime|RechargeValues(d6)|AttackAbilityMod|Description
Boomburst|Normal|Spell|10|Instant|Action|--|--|All creatures within range who can hear you must make a CON saving throw or take Xd8 where X is half your trainer level + 2; on a success they take half.
Camouflage|Normal|Spell|--|Instant|Action|--|--|The user to Change its type based on the current terrain: (Normal type in buildings, paved/plain terrain or wi-fi/linked battles; Grass type in standard grassy areas or when Grassy Terrain is in effect; Ground type in desert, beaches or rocky terrain; Rock type in caves; Water type when surfing on water; Ice type in snow or in icy caves; Fairy type when Misty Terrain is in effect; Electric type when Electric Terrain is in effect)
Captivate|Normal|Spell|60|Instant|Reaction|5,6|--|React to an ally being targeted with an attack (can be yourself), if the attacker would hit with that attack they must reroll the attack, taking the new roll.
Chip Away|Normal|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d6 + mod damage; you cannot have disadvantage on this attack.
Comet Punch|Normal|Melee Attack|Touch|Instant|Action|--|STR,DEX|Roll 1d4 + 1, make that amount of Pound attacks.
Confide|Normal|Spell|60|Instant|Reaction|5,6|--|React to an ally being targeted with an attack (can be yourself), if the attacker would hit with that attack they must reroll the attack, taking the new roll.
Constrict|Normal|Melee Attack|Touch|Instant|Action|--|STR,DEX|Make a Pound attack against a target, if it hits their movement is 0 until the end of their next turn.
Conversion|Normal|Spell|--|1 Minutes|Bonus Action|--|--|Change the user’s type to whatever the type of the Action was last used by the user for the duration.
Conversion 2|Normal|Spell|--|1 Minutes|Bonus Action|--|--|Choose a target; Change the user’s type to whatever the type of the Action was last used by the target for the duration.
Copycat|Normal|Spell|--|Instant|Action|4,5,6|--|Copy the last move targeted against you (any pre-reqs also must be fulfilled by you).
Covet|Normal|Spell|--|1 Minutes|Action|--|--|Gain advantage on investigation and perception checks for the duration.
Cut|Normal|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d8 + mod damage.
Defense Curl|Normal|Spell|--|1 Minutes|Action|5,6|--|Gain +1 to your AC for the duration.
Disable|Normal|Spell|30|1d8 Rounds|Reaction|6|--|After an attack or spell affects you and or an ally within range, it will be Disabled for the duration. Disabled meaning they forget they even know the move.
Dizzy Punch|Normal|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d8 + mod damage and the target must make a CON save or be Confused; If this attack misses you must make a CON save or be Confused. Both may repeat the save at the end of their turns.
Double Hit|Normal|Melee Attack|Touch|Instant|Action|--|STR,DEX|Make 1 Mega Punch attack and 1 Mega Kick attack.
Double Slap|Normal|Melee Attack|Touch|Instant|Action|--|STR,DEX|Make 1d4 + 1 Pound attacks.
Double Team|Normal|Spell|--|1 Minutes|Action|OPSR|--|Create a duplicate, non-corporeal copy of yourself next to you; You can use your bonus action to move this dupe; The duplicate copies any action you make (to no effect).
Double-Edge|Normal|Melee Attack|Touch|Instant|Action|--|STR,CON|1d12 + mod damage, but you must make a DC 12 save (of the mod damage) or take 1/2 of the damage done.
Echoed Voice|Normal|Ranged Attack|20/60|Instant|Action|--|WIS,CHA|Xd4 + mod damage, where X is the number of rounds in a row this action has been taken (hit or not).
Egg Bomb|Normal|Ranged Attack|60/180|Instant|Action|--|DEX|Roll 1d4, the results cause the following effect; (1 - Hardboiled, target takes 1d12 + DEX mod damage; 2 - Rotten, target is Poisoned; 3 - Softboiled, this egg looks too delicious to throw, eat it and heal for 2d8 + CON mod hp; 4 - Fresh, target is Blinded until the end of their next turn)
Encore|Normal|Spell|30|Instant|Action|5,6|--|Choose a target, they must make a CHA save or be forced to repeat their previous action next turn.
Endeavor|Normal|Spell|10|Instant|Action|5,6|--|Choose a target to make a WIS saving throw, on failure set their current hp to your current hp.
Endure|Normal|Spell|--|Instant|Reaction|OPSR|--|If an attack were to take you to 0 hit points, you instead have 1 hp.
Entrainment|Normal|Spell|60|Instant|Action|4,5,6|--|Choose a target, the next attack/spell they make against you deals your same Type of damage. (Ie. you’re electric, their Tackle will be electric, etc).
Explosion|Normal|Spell|10|Instant|Action|OPSR|--|All targets within range of you must make a DEX save or take Xd6 damage where X is double your trainer level; Half on success; After using this attack the user's current HP becomes 0.
Extreme Speed|Normal|Spell|--|1 Rounds|Bonus Action|5,6|--|Double your movement speed for this turn; if you move more than your usual movement speed and then use a melee attack, the attack auto-crits.
Facade|Normal|Melee Attack|Touch|Instant|Action|--|STR,CON|1d8 + mod damage; If the user is suffering from a status effect and hit, this attack auto crits.
Fake Out|Normal|Spell|60|1 Rounds|Bonus Action|5,6|--|Choose a target to mark for the duration, each time you attack them and they haven’t yet acted this round, you have advantage on all damage rolls against them.
False Swipe|Normal|Spell|--|Instant|Bonus Action|--|--|Your next attack cannot bring your opponent lower than 1 health.
Feint|Normal|Melee Attack|Touch|Instant|Action|--|DEX|If your target is affected by Detect or Protect this move auto hits dealing 1d8 + mod damage.
Flail|Normal|Melee Attack|Touch|Instant|Action|--|STR|Deal more damage the lower your health is; (<100% - 1d4 + mod damage; <50% - 1d8 + mod damage; <10% - 1d12 + mod damage)
Flash|Normal|Spell|200|2 Rounds|Action|6|--|Any creatures within range that is looking at you must make CON saving throw or be Blinded for the duration; Can be used more passively outside of battle.
Focus Energy|Normal|Spell|--|1 Minutes|Bonus Action|6|--|For the duration you crit on a 19 or 20.
Follow Me|Normal|Spell|30|1 Rounds|Bonus Action|4,5,6|--|All targets within range must make a CHA saving throw or be forced to target you with any attacks until the beginning of your next turn.
Foresight|Normal|Spell|--|1 Minutes|Action|6|--|Resets all looming disadvantage rolls for everyone in the battle, also: Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal for the duration.
Frustration|Normal|Spell|--|Instant|Bonus Action|5,6|--|Make your next attack with disadvantage but if you hit deal an additional Xd6 damage, where X is your prof bonus.
Fury Attack|Normal|Melee Attack|Touch|Instant|Action|--|STR,DEX|Roll 1d4, make that many Scratch attacks.
Fury Swipes|Normal|Melee Attack|Touch|Instant|Action|--|STR,DEX|Roll 1d6, make that many Scratch attacks.
Giga Impact|Normal|Melee Attack|Touch|Instant|Action|--|STR,CON|2d12 + X + mod damage; where X is your trainer class level; If you hit with the attack make a DC 12 CON saving throw or forfeit your next action.
Glare|Normal|Spell|60|1 Minutes|Action|5,6|--|Choose a target that can see you to make a CHA save or be Feared; Affected targets can repeat the save at the end of their turn.
Growl|Normal|Spell|60|Instant|Reaction|4,5,6|--|Attacker has to be able to hear you; When you are to be hit with an attack, roll a d20 + your CHA modifier; if this beat the attack roll of the incoming attack the damage for that attack is halved.
Growth|Normal|Spell|--|Instant|Bonus Action,Action|5,6|--|Use an Action to gain advantage on your next attack action or add +2 to your next spell DC; if the user is in direct sunlight this move only takes a Bonus Action.
Guillotine|Normal|Melee Attack|Touch|Instant|Action|5,6|STR|Roll 1d4, if it’s anything but a 4 nothing happens; on a 4 deal Xd8 damage + STR mod, where X is your prof bonus + 4;
Happy Hour|Normal|Spell|--|Instant|Action|OPB|--|Doubles the Gold rewards of the battle.
Harden|Normal|Spell|--|1 Minutes|Action|5,6|--|Gain +1 to your AC for the duration.
Head Charge|Normal|Melee Attack|Touch|Instant|Action|--|STR,CON|1d12 + mod damage, but make a DC 12 DEX save or you take 1/2 of the damage done.
Headbutt|Normal|Melee Attack|Touch|Instant|Action|--|STR|1d8 + mod damage and the target must make a STR saving throw or lose it’s movement it’s next turn.
Heal Bell|Normal|Spell|60|Instant|Action|5,6|--|All allies within range that can hear you have their status effects cured.
Helping Hand|Normal|Spell|10|10 Minutes|Action|OPSR|--|For the duration, while you are near an ally they gain advantage on their rolls. This effect ends early if an adjacent ally takes damage.
Hidden Power|--|Ranged Attack|30/90|Instant|Action|--|DEX|1d8 + mod damage; this attack deals the same Type of damage as your trainer class Type Specialty (you choose one if you have more than 1), if you’re lvl 1 or 2 it deals normal Type damage.
Hold Back|Normal|Spell|--|2 Rounds|Bonus Action|5,6|--|For the duration suffer disadvantage on your attacks, any targets you attempt to attack have disadvantage on saving throws.
Hold Hands|Normal|Spell|Touch|Instant|Action|5,6|--|Hold hands with your Trainer increasing your happiness, gaining a bardic inspiration dice and curing Charm. This dice increases with your level (1 - d6, 5 - d8, 10 - d10, 15 - d12). 
Horn Drill|Normal|Spell|--|Instant|Bonus Action|6|--|Empower your next Melee Attack Action with immense strength, at the cost of accuracy; Gain disadvantage on your next Melee Attack Action, but on hit deal deal 4x the damage dice value (stacks with crit). 
Howl|Normal|Spell|--|Instant|Bonus Action|4,5,6|--|As long as you can hear you, gain advantage on your next attack action.
Hyper Beam|Normal|Ranged Attack|80/240|Instant|Action|--|DEX,CON|2d12 + X + mod damage; where X is your trainer class level; If you hit with the attack make a DC 12 CON saving throw or forfeit your next action.
Hyper Fang|Normal|Melee Attack|Touch|Instant|Action|--|STR|1d8 + mod damage; if it hits, target must make a CON saving throw or lose it’s movement it’s next turn.
Hyper Voice|Normal|Spell|30|Instant|Action|4,5,6|--|All creatures in a 30 ft cone that can hear you must make a CON saving throw; on failure they take Xd8 where X is half your trainer class (minimum 1), on success they take half that.
Judgement|Normal|Ranged Attack|30/90|Instant|Action|OPSR|DEX,CON|2d12 + X + mod damage; where X is your trainer class level; If you hit with the attack make a DC 12 CON saving throw or forfeit your next action. The Type of this attack depends on your trainer class Type Specialty.
Last Resort|Normal|Melee Attack|Touch|Instant|Action|4,5,6|STR,CON|Must have used 4 unique Spell/Attack Actions this battle (without swapping Pokemon) or this attack has no effect; 2d8 + X + mod damage; where X is your trainer class level,
Leer|Normal|Spell|20|Instant|Bonus Action|4,5,6|--|Choose a target within range to make a CHA saving throw or your next attack against that target has advantage.
Lock-On|Normal|Spell|--|Instant|Action|4,5,6|--|The next attack you make automatically hits.
Lovely Kiss|Normal|Spell|Touch|1 Minutes|Action|5,6|--|Choose an adjacent target to smooch; Target must make a CON save or be put to Sleep. Target can repeat the save at the end of their turn or when they take damage.
Lucky Chant|Normal|Spell|--|1d6+1 Rounds|Action|5,6|--|Enemies cannot crit against you for the duration.
Me First|Normal|Spell|--|Instant|Reaction|5,6|--|If you have already acted this turn and are being targeted by an attack action or a melee spell action you may use the same attack against your attacker; otherwise this does nothing.
Mean Look|Normal|Spell|45|Instant|Reaction|5,6|--|When your opponent attempts to retract their pokemon or flee, you cast a mean look at them (they must be in range and able to see you), they must make a CHA saving throw or be unable to act on their next turn.
Mega Kick|Normal|Melee Attack|Touch|Instant|Action|--|DEX|1d8 + mod damage.
Mega Punch|Normal|Melee Attack|Touch|Instant|Action|--|STR|1d8 + mod damage.
Metronome|--|Spell|--|--|--|4,5,6|--|Roll 1d100 against the ‘100 Random Moves’ chart.
Milk Drink|Normal|Spell|--|Instant|Action|6|--|Regain X health, where X is equal to half of your max hp.
Mimic|Normal|Spell|--|10 Minutes|Bonus Action|OPB|--|Choose a target, for the duration you can use that target’s last used Spell or Attack in place of Mimic.
Mind Reader|Normal|Spell|--|Instant|Action,Reaction|5,6|--|As a Spell Action, guarantee the next attack you make automatically hits or as a Reaction cause an incoming attack action to miss.
Minimize|Normal|Spell|--|5 Rounds|Action|6|--|Your size is one smaller than usual for the duration, you have half cover against ranged attacks.
Morning Sun|Normal|Spell|--|Instant|Action|5,6|--|User recovers hp according to the weather; if in direct sunlight 2d10 + WIS mod; otherWISe 2d4 + WIS mod.
Natural Gift|--|Ranged Attack|30/90|Instant|Action|--|DEX|1d8 + mod damage; this attack deals the same Type of damage as your trainer class Type Specialty (you choose one if you have more than 1), if you’re lvl 1 or 2 it deals normal Type damage.
Nature Power|--|Spell|--|--|--|4,5,6|--|Move used depends on current terrain: (Urban - See Tri Attack; Grassy Area/Grassy Terrain - See Energy Ball; Desert/Beach/Rocky - See Earth Power; Caves - See Power Gem; Water - See Hydro Pump; Shallow Water - See Mud Bomb; Snowy Terrain - See Frost Breath; Icy Caves - See Ice Beam; Misty Terrain - See Moonblast; Electric Terrain - See Thunderbolt)
Noble Roar|Normal|Spell|60|Instant|Reaction|--|--|Attacker must be in range and able to hear you; When you or any of your allies are to be hit with an attack, roll a d20 + your CHA modifier; if this beat the attack roll of the incoming attack the damage for that attack is halved.
Odor Sleuth|Normal|Spell|--|1 Minutes|Action|6|--|Resets all looming disadvantage rolls for everyone in the battle, also: Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal for the duration.
Pain Split|Normal|Spell|20|Instant|Action|4,5,6|--|Choose a target to make a CHA saving throw. On a failure, set your opponent’s hp and yours to the average of your current hps.
Pay Day|Normal|Ranged Attack|20/60|Instant|Action|--|DEX|Throw 1 gold at target, if it hits it deals 1d6 + mod damage and then splits into 5 gold, to be collected by the victor.
Perish Song|Normal|Spell|200|Instant|Action|6|--|Any pokemon in play that is in range and can hear you (including you) must make a CHA saving throw. If any of those that failed are in play at the beginning of your turn in 3 rounds they are lowered to 0 hp.
Play Nice|Normal|Melee Attack|Touch|Instant|Action|--|STR|This move always hits, even through Protect/Detect/etc; deal 1d4 + mod damage and your target has disadvantage on their next attack roll.
Pound|Normal|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d4 + mod damage.
Present|Normal|Ranged Attack|20/60|Instant|Action|--|DEX|roll 1d4, on a 1 you heal the opponent for 1d4 hp, otherwise you deal 1d8 + mod damage.
Protect|Normal|Spell|20|1 Rounds|Action|5,6|--|Choose one ally within range (can be yourself) they cannot take damage until the end of their next turn.
Psych Up|Normal|Spell|20|Instant|Bonus Action|5,6|--|Choose a target within range, copy any bonuses they’re being affected by onto you.
Quick Attack|Normal|Melee Attack|Touch|Instant|Reaction|4,5,6|STR|When an adjacent target is making an attack action, you can make a melee attack against them first; 1d4 + mod damage.
Rage|Normal|Spell|--|Instant|Bonus Action|--|--|See Barbarian Rage. Also learn Thrash
Rapid Spin|Normal|Melee Attack|Touch|Instant|Action|--|STR,DEX|Make one Tackle attack that targets all adjacent opponents; also neutralizes the effects from the following attacks: Bind, Clamp, Fire Spin, Leaf Tornado, Leech Seed, Magma Storm, Sand Tomb, Spikes, Stealth Rock, Toxic Spikes, Whirlpool, and Wrap within 20 ft of you.
Razor Wind|Normal|Spell|40/120|1 Rounds|Action|--|STR,CON|1st turn, begin whipping up powerful winds; 2nd turn, make an attack against X targets, where X is your prof bonus, within range; 1d10 + mod damage; this attack crits on 19 or 20.
Recover|Normal|Spell|--|Instant|Action|6|--|Regain X health, where X is equal to half of your max hp.
Recycle|Normal|Trait|--|--|--|--|--|When you learn this move you instead gain the Pokemon Level Up Trait ‘Recycler’. Items used on this Pokemon have a 50% chance of gaining another use of it. 
Reflect Type|Normal|Spell|--|Instant|Bonus Action|5,6|--|Choose a target, change your Type to be the same as your target for 1 minute.
Refresh|Normal|Spell|--|Instant|Action|4,5,6|--|Cure Burn, Poison, and Paralysis on yourself.
Roar|Normal|Spell|60|Instant|Action|5,6|--|Choose one target that can hear you within range, they must make a CHA save or be Feared until they are retracted or cured via item.
Rock Climb|Normal|Trait|--|--|--|--|--|When you learn this move you instead gain the Pokemon Level Up Trait ‘Rock Climber’. This Pokemon can use its movement to climb objects  with no hindrance. Out of combat this Pokemon can easily carry it’s trainer up steep rock faces.
Round|Normal|Melee Attack|Touch|Instant|Action|--|STR,DEX|Xd6 + mod damage, where X is the number of consecutive rounds this action has hit it’s target.
Safeguard|Normal|Spell|60|1d6 Rounds|Action|5,6|--|Choose a 20 ft. safe zone within range that lasts the duration, Pokemon in this area cannot be affected by conditions and are cured of them when they enter it.
Scary Face|Normal|Spell|60|1 Minutes|Action|5,6|--|Choose X targets that can see you within range, where X is double your prof bonus, each target must make a CHA saving throw or be Feared. Target can repeat their save at the end of their turn.
Scratch|Normal|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d4 + mod damage.
Screech|Normal|Spell|30|1d4+1 Rounds|Action|5,6|--|Targets in a 30 ft cone that can hear you must make a CON save or have -2 to AC for the duration.
Secret Power|--|Trait|--|--|--|--|--|Instead of learning this move; Roll for a random Pokemon, then roll for a random move on that Pokemon that is 10 times your Pokemon's new level and learn that move instead.
Self-Destruct|Normal|Spell|Touch|Instant|Action|OPSR|--|All targets within range of you must make a DEX save or take Xd4 damage where X is your trainer level times two; Half on success; you faint after using this move.
Sharpen|--|Trait|--|--|--|--|--|When you learn this move you instead gain the Pokemon Level Up Trait ‘Sharpen’. Gain +2 to all Melee attack rolls.
Shell Smash|Normal|Spell|--|1 Minutes|Action|OPSR|--|Your shell gains magical properties for the duration; You deal an additional 1d6 damage on all melee attack actions and have +2 AC.
Simple Beam|Normal|Ranged Attack|80/240|1 Minutes|Action|--|DEX,WIS|If you hit you affect the target with Simplicity until they make a WIS save at the end of one of their turns.
Sing|Normal|Spell|20|1 Minutes|Action|5,6|--|Any target that can hear you within range must make a CON save or be put to sleep.
Sketch|Normal|Spell|30|Instant|Action|--|--|Choose a target within range, Sketch is replaced with the last move that target used permanently. (You can re-learn Sketch upon leveling after you’ve used it in this way).
Skull Bash|Normal|Melee Attack|Touch|1 Rounds|Action|--|STR|1st turn: Lower your head, preparing for an attack and gaining +1 AC until the beginning of your next turn. 2nd turn:1d12 + mod damage + X, where X is the number of attacks you took between 1st and 2nd turns.
Slack Off|Normal|Spell|--|Instant|Action|6|--|Choose a number, X, sacrifice X Actions (including this turn) and heal for Xd10 + X.
Slam|Normal|Melee Attack|Touch|Instant|Action|--|STR|1d8 + mod damage and the target must make a STR saving throw or lose it’s movement it’s next turn. If the creatue weighs 50 lbs less than you they auto-fail this save.
Slash|Normal|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d10 + mod damage, this attack crits on 19 or 20.
Sleep Talk|--|Trait|--|--|--|--|--|When you learn this move instead you gain the Pokemon Level Up Trait ‘Sleep Talker’. You can use an Attack Action while Asleep.
Smelling Salts|Normal|Melee Attack|Touch|Instant|Action|--|STR,CON|1d10 + mod damage, if the target is Paralyzed this attack cures the Paralysis but doubles the damage done.
Smokescreen|Normal|Spell|10|2 Rounds|Reaction|5,6|--|When being targeted with an attack release a cloud of smoke creating a 10 ft zone around you of smoke that lasts the duration. Any attacks made into the smoke have disadvantage (including the incoming attack).
Snore|Normal|Ranged Attack|20/60|Instant|Action|--|CON,CHA|Xd8 + mod damage, where X is the number of rounds in a row this action has hit. This attack can only be used while you're Asleep.
Soft-Boiled|Normal|Spell|--|Instant|Bonus Action|5,6|--|Heal yourself for Xd6 + CON mod, where X is your prof bonus.
Sonic Boom|Normal|Spell|20|Instant|Action|--|--|Choose a target to deal 5 damage to.
Spike Cannon|Normal|Ranged Attack|70/210|Instant|Action|--|STR,DEX|Roll 1d4 + 1, make that amount of ranged attacks, dealing 1d6 + mod damage each.
Spit Up|Normal|Melee Attack|10|Instant|Action|--|STR,CON|deal Xd10 + mod damage, where X is the amount of times Stockpile has been used. You lose Stockpile’s bonus. When you learn Spit Up, you also learn Stockpile and Swallow.
Splash|Normal|Melee Attack|Touch|Instant|Action|--|STR,CON|Roll 1d20, on a 20 make a Giga Impact attack, otherwise do nothing.
Stockpile|Normal|Spell|--|5 Rounds|Action|--|--|Gain 2d4 temporary hp for 5 rounds, this stacks with previous uses of Stockpile. When you learn Stockpile, you also learn Spit Up and Swallow; 
Stomp|Normal|Melee Attack|Touch|Instant|Action|--|STR|1d6 + mod damage and the target must make a STR saving throw or lose it’s movement it’s next turn. If the creatue weighs 50 lbs less than you they auto-fail this save.
Strength|Normal|Melee Attack|Touch|Instant|Action|--|STR|d10 + mod damage, target must make a STR saving throw or be grappled.
Substitute|Normal|Spell|--|Instant|Action|4,5,6|--|Use 25% of your max hp to create a decoy with that amount of HP; When you do this you become Invisible, which lasts as long as the decoy is alive or until you attack. 
Super Fang|Normal|Melee Attack|Touch|Instant|Action|--|STR|Deals 50% of the target’s current hp.
Supersonic|Normal|Spell|30|1 Minutes|Action|5,6|--|Choose a target within range to make a CON save or they are Confused.
Swagger|Normal|Spell|30|1 Minutes|Action|5,6|--|Choose a target within range to make a CON save or they are Confused, the target also adds 1d4 to any attacks made while Confused. The target can repeat the save at the end of their turn.
Swallow|Normal|Spell|--|Instant|Action|--|--|Heal Xd10 + CON mod, where X is the amount of times Stockpile has been used. You lose Stockpile’s bonus. When you learn Swallow, you also learn Stockpile and Spit Up.
Sweet Scent|--|Trait|--|--|--|--|--|When you learn this move, you instead gain the Pokemon Level Up Trait ‘Sweet Spores’. Whenever you’re attacked by a melee attack you let loose some sweet smelling spores, the attacker must make a WIS save or have disadvantage on their next attack.
Swift|Normal|Ranged Attack|20/60|Instant|Action|--|DEX|1d8 + mod damage, this attack cannot have disadvantage.
Swords Dance|Normal|Spell|60|Instant|Bonus Action|5,6|--|Give one valor bardic inspiration dice to an ally of your choosing within range (can be yourself). This dice increases with your level (1 - d6, 5 - d8, 10 - d10, 15 - d12).
Tackle|Normal|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d4 + mod damage.
Tail Slap|Normal|Melee Attack|Touch|Instant|Bonus Action|--|STR,DEX|1d6 damage + mod damage.
Tail Whip|Normal|Spell|10|1 Rounds|Action|5,6|--|Target must make a CON save or each attack against it until the beginning of its next turn has advantage.
Take Down|Normal|Melee Attack|Touch|Instant|Action|--|STR|1d8 + mod damage, but the user must make a DC 10 DEX save or take 1/4 of the damage done.
Techno Blast|Normal|Spell|15|Instant|Action|5,6|--|Roll 6d10; the total is how many hit points of creatures this spell can affect. Creatures in a 15-foot cone originating from you are affected in ascending order of their current hit points (ignoring unconscious creatures and creatures that can't see). Starting with the creature that has the lowest current hit points, each creature affected by this spell is blinded until the spell ends. Subtract each creature's hit points from the total before moving on to the creature with the next lowest hit points. A creature's hit points must be equal to or less than the remaining total for that creature to be affected. 
Teeter Dance|Normal|Spell|10|1 Minutes|Action|5,6|--|Dance causing all creatures within range of you to make a CON save or be Confused. The targets can repeat the save at the end of their turn.
Tickle|Normal|Spell|Touch|Instant|Action|4,5,6|--|Choose an adjacent target to make a CON save or have their prof bonus lower by 2 for 1d4 + 1 rounds.
Thrash|--|Trait|--|--|Bonus Action|--|--|When you learn this, you also learn Rage.; See Barbarian’s Frenzied Rage.
Transform|--|Trait|--|--|--|--|--|When you learn this move you instead gain the Pokemon Level Up Trait ‘Transformer’. Automatically transform into one of the Pokemon you are vs’ing, gaining their moves as yours for the battle (keeping your stats).
Tri Attack|Normal|Ranged Attack|70/210|1 Minutes|Action|--|DEX|1d8 + mod damage, target must make a DEX save or you roll 1d4 and they are affected by the following CONdition (1-Burned, 2-Paralyzed, 3-Frozen, 4-Confused).
Trump Card|Normal|Spell|30|Instant|Reaction|6|--|If a creature within range (that you can see uses a Spell Action you can use this move to try to disrupt it. Make a 20 roll off, each adding your WIS/INT.
Uproar|Normal|Spell|20|3 Rounds|Action|--|CON,CHA|For your next 3 Actions you make the following attack (during this time no Pokemon can be asleep); 1d10 + mod damage. 
Vice Grip|Normal|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d8 + mod damage, if this attack hits the target is grappled.
Weather Ball|Normal|Ranged Attack|60/180|Instant|Action|--|DEX,INT|1d8 + mod damage, if there is a weather effect active this move deals double damage and does the following Type damage: (Bright sunlight - Fire; Heavy rain - Water; Sandstorm - Rock; Hailstorm - Ice; Fog - Stays Normal but still double dmg)
Whirlwind|Normal|Spell|100|Instant|Action|5,6|--|Choose a line 10 ft. wide and 100 ft. long. Any creatures on this line must make a DEX saving throw or be tossed in a random direction 50 ft. taking at minimum 1d8 fall damage. 
Wish|Normal|Spell|30|1 Rounds|Action|5,6|--|Choose an ally within range (can be yourself), spend the rest of the duration concentrating, on your next turn that ally regains all their missing hp or cure all status’, if your concentration wasn't broken.
Work Up|--|Trait|--|--|--|--|--|When you learn this move you instead gain the Pokemon Level Up Trait ‘Hard Worker’. This Pokemon has trained hard, anytime you are asked to use your strength modifier you can use your intelligence modifier, and vice-versa.
Wrap|Normal|Spell|Touch|Instant|Action|--|--|Choose an adjacent target to make a STR saving throw or be grappled and take 1d4 + STR/CON damage. As long as the target is still grappled you can use your Bonus Action in following turns to reapply the damage.
Wring Out|Normal|Melee Attack|Touch|Instant|Action|--|STR,CON|1dX + mod damage, where X depends on the opponent’s current hp: (100 % - 12; >50% - 10, >10% - 6, >0% - 4)
Yawn|Normal|Spell|60|1 Minutes|Action|5,6|--|Choose one target that can see you within range; they must make a CON save or become drowsy, meaning: Their next turn they cannot move and the following turn they fall asleep.
Blast Burn|Fire|Ranged Attack|60/180|Instant|Action|--|DEX,INT|2d12 + X + mod damage; where X is your trainer class level; If you hit with the attack make a DC 12 CON saving throw or forfeit your next action.
Blaze Kick|Fire|Spell|--|Instant|Bonus Action|4,5,6|--|Your next Melee Attack Action applies Burn and crits on a 19 or 20.
Ember|Fire|Ranged Attack|20/60|Instant|Action|--|INT,CHA|1d4 + mod damage and target must make a DEX saving throw or be Burned.
Eruption|Fire|Spell|10|Instant|Action|5,6|--|All creatures within range of you must make DEX save or take Xd10 damage, where X is your prof bonus +1, and be knocked prone; Half on successful save; This spell leaves the area as difficult terrain.
Fiery Dance|Fire|Spell|--|10 Minutes|Action|OPSR|--|Put yourself into a fire dancer’s stance resulting in the following effects: Advantage on INT and STR saves, every Spell Action that you use raises the next Spell Actions DC by 2, and you cannot make Ranged Attack Actions; You can use a Bonus Action to drop Fire Dance early, and anytime you suffer from a status you must make a DC 12 CON save or drop Fire Dance.
Fire Blast|Fire|Ranged Attack|40/120|Instant|Action|--|INT,DEX|1d12 + mod damage; on hit target is Burned.A
Fire Fang|Fire|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d8 + mod damage and target must make a CON save or be Burned, if the target has not acted in combat they auto-fail this save.
Fire Pledge|Fire|Ranged Attack|40/120|Instant|Action|--|INT|1d8 + mod damage; deals double damage if Grass Pledge or Water Pledge were used by an ally in the same round.
